org_name,breach_date,matched,matched_field,legal_name,dba,trade_name,frn,start_date,end_date,end_reason_desc,replacement_id,nearest_candidates
Apple Inc.,2010-06-01,0,,,,,,,,,,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Apple Inc.,2015-07-01,0,,,,,,,,,,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Apple Inc.,2013-07-18,0,,,,,,,,,,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Apple Inc.,2015-09-18,0,,,,,,,,,,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Ariel Corporation,2024-06-20,0,,,,,,,,,,None
Arx Capital LLC,2023-12-06,0,,,,,,,,,,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
ASAP Semiconductor LLC,2021-03-20,0,,,,,,,,,,"ASAP Paging, Inc. (overlap=1); ASAP Paging, Inc. (overlap=1); ASAP Communications Corp (overlap=1)"
ASIS International,2021-04-28,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
AT&T,2014-04-01,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2017-01-25,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2013-11-05,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2024-03-17,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2014-06-11,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2014-02-01,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2008-05-23,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2014-10-09,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2013-01-01,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2012-01-01,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T,2022-06-01,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T Inc,2024-04-09,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T Inc.,2024-03-17,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T Inc.,2024-03-26,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T Inc.,2024-04-10,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T Inc.,2024-04-14,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
AT&T Services,2017-02-01,0,,,,,,,,,,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
AT&T Services Inc.,2014-04-01,0,,,,,,,,,,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",2014-04-09,0,,,,,,,,,,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",2022-08-30,0,,,,,,,,,,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",2014-08-11,0,,,,,,,,,,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",2017-01-01,0,,,,,,,,,,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",2014-06-05,0,,,,,,,,,,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",2017-01-25,0,,,,,,,,,,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",2023-03-01,0,,,,,,,,,,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T, Inc.",2019-01-01,1,normalized_match,"AT&T Enterprises, LLC",AT&T Corp. ,AT&T Corp.,0005937974,1997-01-01,,,,
ATT-Breach Notification,2014-08-05,0,,,,,,,,,,None
ATT-Breach Notification,2014-10-16,0,,,,,,,,,,None
ATT-SecurityBreach,2014-04-09,0,,,,,,,,,,None
ATT-SecurityBreach2,2013-10-01,0,,,,,,,,,,None
"Audacy, Inc",2019-08-04,0,,,,,,,,,,None
"Automatic Data Processing, Inc.",2013-04-29,0,,,,,,,,,,"Data Express, Inc. (overlap=1); Automatic Telephone Systems (overlap=1); Automatic Telephone Systems (overlap=1)"
B Capital Group,2023-09-18,0,,,,,,,,,,"Lakeland Communications Group, LLC (overlap=1); Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1)"
BBB Industries LLC,2017-03-09,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"BBC Industries, Inc.",2020-08-18,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"BDP International, Inc.",2021-02-16,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Block and Company, Inc.",2016-03-21,0,,,,,,,,,,"Block Line Systems, LLC (overlap=1)"
"Block and Company, Inc.",2016-02-09,0,,,,,,,,,,"Block Line Systems, LLC (overlap=1)"
"Block and Company, Inc.",2016-02-01,0,,,,,,,,,,"Block Line Systems, LLC (overlap=1)"
"Block Electric Company, Inc.",2021-12-08,0,,,,,,,,,,Wilkes Telephone & Electric Company (overlap=1); Electric Lightwave LLC (overlap=1); Electric Lightwave LLC (overlap=1)
Block Inc,2023-01-12,0,,,,,,,,,,"Block Line Systems, LLC (overlap=1)"
"Block, Inc.",2023-01-12,0,,,,,,,,,,"Block Line Systems, LLC (overlap=1)"
"Bonland Industries, Inc.",2021-05-23,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Boost Mobile,2019-03-14,1,normalized_match,DISH Wireless L.L.C.,Boost Mobile,,0027852722,2020-06-01,,,,
"Bray International, Inc.",2024-04-17,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Brown Construction Services, Inc.",2018-06-14,0,,,,,,,,,,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"Brown Integrated Logistics, Inc.",2023-11-13,0,,,,,,,,,,"Brown County MSA Cellular Ltd. Partnership (overlap=1); Integrated Systems Corporation (overlap=1); Integrated Telemanagement Services, Inc. (overlap=1)"
"Brown Paindiris & Scott, LLP",2023-11-07,0,,,,,,,,,,"Keycomm Voice & Data Services LLP (overlap=2); SCOTT BROWN MEDIA GROUP, INC. (overlap=2); Marne & Elk Horn Tel. Co. (overlap=1)"
"Brown Paindiris & Scott, LLP",2023-11-01,0,,,,,,,,,,"Keycomm Voice & Data Services LLP (overlap=2); SCOTT BROWN MEDIA GROUP, INC. (overlap=2); Marne & Elk Horn Tel. Co. (overlap=1)"
"Brown, Lisle/Cummings, Inc.",2018-04-15,0,,,,,,,,,,"Brown County MSA Cellular Ltd. Partnership (overlap=1); Brown County CLEC, LLC (overlap=1); Brown Hills Enterprises, Inc. (overlap=1)"
Brown-Forman Corporation,2020-07-28,1,normalized_match,BROWN-FORMAN CORPORATION,BROWN-FORMAN CORPORATION,BROWN-FORMAN CORPORATION,0033738956,2023-05-01,,,,
"Burrelles Information Services, LLC",2022-03-06,0,,,,,,,,,,"Centris Information Services (overlap=2); Time Warner Cable Information Services (Maine), LLC (overlap=2); Time Warner Cable Information Services (Texas), LP (overlap=2)"
"Cable One, Inc.",2019-08-08,1,normalized_match,Cable One Inc.,Cable One Inc.,Sparklight,0003474327,2006-08-01,,,,
"Cable One, Inc.",2019-03-01,1,normalized_match,Cable One Inc.,Cable One Inc.,Sparklight,0003474327,2006-08-01,,,,
"Caesars Entertainment, Inc.",2023-08-23,0,,,,,,,,,,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); Windstream Lexcom Entertainment, LLC. (overlap=1); Platinum Touch Entertainment, LLC. (overlap=1)"
"Capital Asset Management Group, Inc.",2024-01-19,0,,,,,,,,,,"Phone Company Management Group, LLC (overlap=2); Gila River Asset Management, Inc. (overlap=2); Gila River Asset Management, Inc. (overlap=2)"
"Capital Brands Distribution, LLC",2020-02-19,0,,,,,,,,,,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
Capital Integration Systems LLC,2018-02-01,0,,,,,,,,,,"Systems Development Integration, LLC. (overlap=2); Systems Development Integration, LLC. (overlap=2); eHome Integration Systems (overlap=2)"
Capital Lumber Company,2020-07-27,0,,,,,,,,,,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
Capital Lumber Company,2020-07-01,0,,,,,,,,,,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
Carnival Corporation,2020-12-25,0,,,,,,,,,,None
Carnival Corporation,2021-03-19,0,,,,,,,,,,None
Carnival Corporation & plc,2020-08-15,0,,,,,,,,,,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
Carnival Corporation & PLC,2019-04-11,0,,,,,,,,,,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
Carnival Corporation & PLC,2019-04-01,0,,,,,,,,,,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
"CBD Industries, LLC",2020-03-30,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Cencora, Inc.",2024-02-21,0,,,,,,,,,,None
"Cencora, Inc.",2024-04-10,0,,,,,,,,,,None
"Cencora, Inc.",2024-05-08,0,,,,,,,,,,None
Centene Management Corporation,2015-10-08,0,,,,,,,,,,"Coin Phone Management Company (overlap=1); Coin Phone Management Company (overlap=1); Payphone Management, Inc. (overlap=1)"
"Centerline Communications, LLC",2022-02-10,0,,,,,,,,,,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
Centerstone Insurance and Financial Services,2018-10-11,0,,,,,,,,,,"R & P Sales and Services (overlap=2); R & P Sales and Services (overlap=2); Aulds And Garner Tele-Com Services, Inc. (overlap=2)"
CenturyLink,2017-01-30,1,normalized_match,"CenturyTel of Midwest-Kendall, Inc","CenturyTel of the Midwest - Kendall, Inc.",CenturyLink,0004547089,1997-01-01,2022-10-03,All assets of this company have been sold to another party.,835536,
CenturyLink,2017-02-28,1,normalized_match,"CenturyTel of Midwest-Kendall, Inc","CenturyTel of the Midwest - Kendall, Inc.",CenturyLink,0004547089,1997-01-01,2022-10-03,All assets of this company have been sold to another party.,835536,
CenturyLink,2013-12-27,1,normalized_match,"CenturyTel of Midwest-Kendall, Inc","CenturyTel of the Midwest - Kendall, Inc.",CenturyLink,0004547089,1997-01-01,2022-10-03,All assets of this company have been sold to another party.,835536,
CenturyLink Communications,2020-08-20,1,normalized_match,"CenturyLink Communications, LLC","CenturyLink Communications, LLC",CenturyLink QCC,0018421941,1997-01-01,,,,
Centurylink Communications,2022-03-15,1,normalized_match,"CenturyLink Communications, LLC","CenturyLink Communications, LLC",CenturyLink QCC,0018421941,1997-01-01,,,,
Change Healthcare Inc.,2024-02-12,0,,,,,,,,,,Tele-Waves  (please change line 104 to this name) (overlap=1); ENA HEALTHCARE SERVICES LLC (overlap=1); POSITIVE CHANGE COMMUNICATIONS LLC (overlap=1)
"Chart Industries, Inc.",2009-07-23,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Charter Communication,2014-09-30,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Charter Communications,2008-08-11,0,,,,,,,,,,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
Charter Communications,2022-12-21,0,,,,,,,,,,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",2023-09-01,0,,,,,,,,,,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",2013-04-26,0,,,,,,,,,,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",2008-07-14,0,,,,,,,,,,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",2014-01-21,0,,,,,,,,,,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",2023-01-01,0,,,,,,,,,,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Next Generation, Inc.",2021-05-01,0,,,,,,,,,,"Charter Payphones of Texas, LLC (overlap=1); Charter Payphones of Texas, LLC (overlap=1); Charter Fiberlink - Missouri, LLC (overlap=1)"
Christensen Oâ€™Connor Johnson Kindness PLLC,2020-12-24,0,,,,,,,,,,CN Johnson Holding (overlap=1); Christensen Communications Co. (overlap=1); Christensen Communications Co. (overlap=1)
Cintas Corporation,2020-09-16,0,,,,,,,,,,None
"Cisco Systems, Inc.",2012-04-13,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
"Cisco Systems, Inc.",2012-03-26,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Citrix,2019-04-30,0,,,,,,,,,,"Citrix Online Audio, LLC (overlap=1); Citrix Online Audio, LLC (overlap=1); Citrix Online Conference Services Group, LLC. (overlap=1)"
Citrix Systems,2016-11-15,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Citrix Systems,2018-10-13,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Citrix Systems Inc.,2013-04-26,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Citrix Systems Inc.,2018-10-13,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
"Citrix Systems, Inc.",2018-10-13,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
CLAS Information Services,2024-10-18,0,,,,,,,,,,"Centris Information Services (overlap=2); Time Warner Cable Information Services (Maine), LLC (overlap=2); Time Warner Cable Information Services (Texas), LP (overlap=2)"
"Cleo Communications US, LLC",2022-10-28,0,,,,,,,,,,"U.S. South Communications, Inc. (overlap=2); U.S. Telecom Communications, Inc. (overlap=2); U.S. Telecom Communications, Inc. (overlap=2)"
"CM Group Holdings, Inc. d/b/a Creative Memories",2019-01-31,0,,,,,,,,,,"Global Crossing Holdings USA, Inc. (Debtor-In-Possession) (overlap=2); iLOKA, Inc. d/b/a Microtech-Tel (overlap=2); Layerone Holdings, Inc.- CONSOLIDATED (overlap=2)"
Coca-Cola Bottling Company of Northern New England,2018-06-02,0,,,,,,,,,,"Enhanced Communications of Northern New England, Inc. (overlap=4); Enhanced Communications of Northern New England, Inc. (overlap=4); CITIZENS TELECOMMUNICATIONS COMPANY OF NEW YORK INC (overlap=3)"
Cognizant Technology Solutions Corporation,2020-04-09,0,,,,,,,,,,"CBTS Technology Solutions LLC (overlap=2); CBTS Technology Solutions LLC (overlap=2); Deimos Technology Solutions, LLC (overlap=2)"
Comcast,2014-09-29,0,,,,,,,,,,"Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Business Communications, LLC. (overlap=1)"
Comcast,2008-01-29,0,,,,,,,,,,"Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Business Communications, LLC. (overlap=1)"
Comcast,2024-02-14,0,,,,,,,,,,"Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Business Communications, LLC. (overlap=1)"
Comcast,2023-10-16,0,,,,,,,,,,"Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Business Communications, LLC. (overlap=1)"
Comcast Cable Communications LLC,2024-10-04,0,,,,,,,,,,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
Comcast Cable Communications LLC,2024-02-14,0,,,,,,,,,,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
Comcast Cable Communications LLC,2023-10-16,0,,,,,,,,,,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
Comcast Cable Communications LLC,2024-01-26,0,,,,,,,,,,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
"Comcast Cable Communications, Inc.",2009-06-22,0,,,,,,,,,,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
"Comcast Cable Communications, Inc.",2009-05-11,0,,,,,,,,,,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
Communications & Power Industries LLC,2020-01-18,0,,,,,,,,,,City of Longmont Power & Communications (overlap=3); Longmont Power & Communications (overlap=3); Longmont Power & Communications (overlap=3)
Consolidated Edison Company of New York LLC,2023-05-29,0,,,,,,,,,,CITIZENS TELECOMMUNICATIONS COMPANY OF NEW YORK INC (overlap=4); CITIZENS TELECOMMUNICATIONS COMPANY OF NEW YORK INC (overlap=4); Covista of New York (overlap=3)
"Corebridge Financial, Inc.",2023-05-29,0,,,,,,,,,,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1)"
Cornerstone Healthcare Group Management Services LLC,2023-12-19,0,,,,,,,,,,"Business Services Group, Inc. (overlap=2); The Via Services Group, Inc. (overlap=2); The Via Services Group, Inc. (overlap=2)"
Corteva Agriscience,2023-03-01,0,,,,,,,,,,None
Costco Photo Center,2014-06-19,0,,,,,,,,,,"Center Junction Tel. Co. (overlap=1); Center Junction Telephone Co., Inc. (overlap=1); Center Junction Telephone Co. Inc. (overlap=1)"
