Firm ID,Firm Name,N Controls,Mean Effect (%),Pre Effect (%),Post Effect (%),RMSE
1034054,"American Alarm & Communications, Inc.",141,16.347794524140546,-15.0392,1.3085945241405463,15.0392
1283699,"Advanced Mobile Notary, LLC",141,6.631980570652174,-7.88240923076923,-1.2504286601170571,7.88240923076923
1702780,Altice USA,141,6.631980570652174,-34.276466666666664,-27.64448609601449,34.276466666666664
1091667,"Aero Charter, Inc.",141,6.631980570652174,-5.42071,1.2112705706521742,5.42071
732717,AT&T,141,6.631980570652174,-7.0816425,-0.449661929347826,7.0816425
1001082,Boost Mobile,141,6.631980570652174,-37.24853333333333,-30.61655276268116,37.24853333333333
1632127,"Cable One, Inc.",141,6.631980570652174,-4.85605,1.775930570652174,4.85605
18926,CenturyLink,141,6.631980570652174,-13.92935,-7.2973694293478255,13.92935
1166691,Comcast,141,6.631980570652174,-10.129927272727272,-3.4979467020750987,10.129927272727272
20520,Frontier Communications,141,6.631980570652174,-2.5595583333333334,4.072422237318841,2.5595583333333334
200406,Christensen Oâ€™Connor Johnson Kindness PLLC,141,6.631980570652174,-4.637593333333333,1.9943872373188407,4.637593333333333
732712,Verizon,141,6.631980570652174,-3.30246111111111,3.329519459541064,3.30246111111111
