cik,grp,pkey,first_date,n_mentions,n_filings,accessions,first_accession,persons,is_ceo,restated_only,vacancy_only,director_only
4904,director,garcia,2019-09-18,1,1,0000004904-19-000042,0000004904-19-000042,Art Garcia,0,0,0,1
4904,exec,power,2017-02-27,1,1,0000004904-17-000017,0000004904-17-000017,American Electric Power,0,0,0,1
4904,exec,powers,2017-02-27,1,1,0000004904-17-000017,0000004904-17-000017,Robert P. Powers,0,0,0,1
8670,director,enrique,2013-08-07,1,1,0000950142-13-001766,0000950142-13-001766,Mr. Enrique,0,0,0,1
8670,director,leon,2011-08-10,1,1,0000008670-11-000020,0000008670-11-000020,Mr. Leon,0,0,0,1
8670,director,processing,2011-11-09,1,1,0000008670-11-000024,0000008670-11-000024,Automatic Data Processing,0,0,0,1
8670,director,sharon,2011-09-23,1,1,0000950142-11-001656,0000950142-11-001656,Ms. Sharon,0,0,0,1
8670,exec,butler,2011-11-15,1,1,0000950142-11-001898,0000950142-11-001898,Gary C. Butler,1,0,0,1
12927,director,mcnerney,2016-02-23,1,1,0000012927-16-000105,0000012927-16-000105,"James McNerney, Jr.",0,0,0,0
12927,exec,conner,2016-11-21,1,1,0000012927-16-000165,0000012927-16-000165,Raymond L. Conner,1,0,0,1
12927,exec,hill,2014-12-19,1,1,0000012927-14-000070,0000012927-14-000070,Shephard W. Hill,0,0,0,1
12927,exec,mcnerney,2015-06-23,1,1,0000012927-15-000035,0000012927-15-000035,"James McNerney, Jr.",1,0,0,1
18926,director,mccray,2017-02-23,1,1,0001193125-17-053977,0001193125-17-053977,Gregory J. McCray,0,0,0,1
18926,director,mueller,2012-03-27,1,1,0001193125-12-134562,0001193125-12-134562,Edward A. Mueller,0,0,0,1
18926,director,post,2019-12-30,1,1,0001193125-19-325996,0001193125-19-325996,Glen F. Post,0,0,0,1
18926,director,storey,2022-09-13,1,1,0001193125-22-243230,0001193125-22-243230,Jeffrey K. Storey,0,0,0,0
18926,director,zimmel,2016-01-25,7,1,0001193125-16-436965,0001193125-16-436965,Joseph Zimmel,0,0,0,1
18926,director,,2017-02-23,1,1,0001193125-17-053977,0001193125-17-053977,None,0,0,0,1
18926,exec,dev,2022-03-28,1,1,0001193125-22-085992,0001193125-22-085992,Indraneel Dev,0,0,0,1
18926,exec,hussain,2018-11-07,1,1,0001193125-18-319718,0001193125-18-319718,Amir Hussain,0,0,0,1
18926,exec,mortensen,2021-01-20,1,1,0001193125-21-011905,0001193125-21-011905,Eric J. Mortensen,0,0,0,1
18926,exec,ousley,2013-03-25,2,1,0001193125-13-124519,0001193125-13-124519,James E. Ousley,1,0,0,1
18926,exec,patel,2018-09-24,1,1,0001193125-18-281219,0001193125-18-281219,Sunit S. Patel,0,0,0,1
18926,exec,puckett,2015-06-02,1,1,0001193125-15-210785,0001193125-15-210785,Karen A. Puckett,0,0,0,1
18926,exec,storey,2022-09-13,1,1,0001193125-22-243230,0001193125-22-243230,Jeffrey K. Storey,1,0,0,1
20520,exec,arndt,2021-07-30,2,1,0000020520-21-000008,0000020520-21-000008,Ken Arndt,0,0,0,1
20520,exec,bruha,2021-06-02,2,1,0001193125-21-179930,0001193125-21-179930,Sheldon Bruha,0,0,0,1
20520,exec,daniels,2022-06-24,1,1,0001140361-22-023997,0001140361-22-023997,Donald W. Daniels,0,0,0,1
20520,exec,han,2020-12-15,5,2,0001140361-20-028400;0001140361-21-005386,0001140361-20-028400,Bernard L. Han,1,0,0,1
20520,exec,mccarthy,2020-02-26,1,1,0001193125-20-050127,0001193125-20-050127,Daniel McCarthy,1,1,0,1
20520,exec,stratton,2021-04-30,1,1,0001140361-21-015200,0001140361-21-015200,John G. Stratton,0,0,0,1
20520,exec,,2021-07-30,1,1,0000020520-21-000008,0000020520-21-000008,None,0,0,0,1
27904,director,donilon,2017-04-11,1,1,0001683168-17-000876,0001683168-17-000876,Thomas E. Donilon,0,0,0,1
27904,exec,anderson,2016-02-05,2,2,0001019687-16-005064;0001683168-16-000288,0001019687-16-005064,Richard H. Anderson,1,0,0,1
33185,exec,adrean,2014-05-12,1,1,0001144204-14-029598,0001144204-14-029598,Lee Adrean,0,0,0,1
33185,exec,mast,2012-10-29,2,1,0001144204-12-058285,0001144204-12-058285,Kent E. Mast,0,0,0,1
33185,exec,smith,2017-09-26,1,1,0001193125-17-293765,0001193125-17-293765,Richard F. Smith,1,0,0,1
40704,director,cordani,2023-05-05,1,1,0001193125-23-137156,0001193125-23-137156,David M. Cordani,0,0,0,1
40704,director,ferguson,2021-07-22,1,1,0001564590-21-037515,0001564590-21-037515,"Roger W. Ferguson, Jr.",0,0,0,1
40704,exec,church,2021-12-07,1,1,0001193125-21-350290,0001193125-21-350290,John R. Church,0,0,0,1
47111,director,schoppert,2023-02-06,1,1,0000047111-23-000006,0000047111-23-000006,Wendy L. Schoppert,0,0,0,1
47217,director,dunn,2006-09-22,1,1,0001104659-06-062623,0001104659-06-062623,Patricia C. Dunn,0,0,0,0
47217,director,hackborn,2009-01-20,1,1,0000047217-09-000003,0000047217-09-000003,Richard A. Hackborn,0,0,0,1
47217,director,hurd,2010-08-06,1,1,0001047469-10-007177,0001047469-10-007177,Mark V. Hurd,0,0,0,0
47217,director,keyworth,2006-09-12,2,1,0001104659-06-060568,0001104659-06-060568,Dr. Keyworth | Keyworth II,0,0,0,1
47217,director,knowling,2005-09-28,1,1,0000047217-05-000167,0000047217-05-000167,"Robert E. Knowling, Jr.",0,0,0,1
47217,director,perkins,2006-05-22,1,1,0001104659-06-036450,0001104659-06-036450,Thomas J. Perkins,0,0,0,1
47217,director,,2005-09-28,1,1,0000047217-05-000167,0000047217-05-000167,Vercuity Solutions,0,0,0,1
47217,exec,dunn,2006-09-12,2,2,0001104659-06-060568;0001104659-06-062623,0001104659-06-060568,Patricia C. Dunn,0,0,0,1
47217,exec,flaxman,2007-01-23,1,1,0001104659-07-003960,0001104659-07-003960,Jon E. Flaxman,0,0,0,1
47217,exec,hurd,2010-08-06,1,1,0001047469-10-007177,0001047469-10-007177,Mark V. Hurd,1,0,0,1
47217,exec,lesjak,2010-08-06,1,1,0001047469-10-007177,0001047469-10-007177,Catherine A. Lesjak,0,0,0,1
47217,exec,wayman,2006-12-11,5,1,0001104659-06-080577,0001104659-06-080577,Robert P. Wayman,0,0,0,1
51143,director,charles,2007-01-31,1,1,0001104659-07-005968,0001104659-07-005968,Dr. Charles,0,0,0,1
51143,director,ghosn,2005-04-01,2,1,0001104659-05-014582,0001104659-05-014582,Carlos Ghosn,0,0,0,1
51143,director,,2010-12-06,1,1,0001104659-10-061274,0001104659-10-061274,None,0,0,0,1
73309,director,frias,2022-02-23,1,1,0001193125-22-050075,0001193125-22-050075,James D. Frias,0,0,0,0
73309,exec,frias,2022-02-23,1,1,0001193125-22-050075,0001193125-22-050075,James D. Frias,0,0,0,1
75362,director,feder,2018-02-16,1,1,0001193125-18-048187,0001193125-18-048187,Franklin L. Feder,0,0,1,1
75362,exec,christensen,2016-12-12,1,1,0001193125-16-789834,0001193125-16-789834,Robert J. Christensen,0,0,0,1
76334,director,bohn,2021-01-11,1,1,0000076334-21-000006,0000076334-21-000006,Robert G. Bohn,0,0,0,1
76334,director,suever,2020-11-02,1,1,0000076334-20-000124,0000076334-20-000124,Catherine A. Suever,0,0,0,0
76334,exec,leombruno,2020-11-02,1,1,0000076334-20-000124,0000076334-20-000124,Todd M. Leombruno,0,0,0,1
76334,exec,suever,2020-11-02,3,1,0000076334-20-000124,0000076334-20-000124,Catherine A. Suever,0,0,0,1
76334,exec,weeks,2022-07-28,1,1,0001193125-22-204998,0001193125-22-204998,Andrew M. Weeks,0,0,0,1
76334,exec,williams,2022-10-26,4,1,0001193125-22-269129,0001193125-22-269129,Thomas L. Williams,1,0,0,1
77476,director,johnson,2020-03-10,1,1,0000077476-20-000020,0000077476-20-000020,William R. Johnson,0,0,0,1
77476,exec,narasimhan,2019-06-11,1,1,0000077476-19-000051,0000077476-19-000051,Laxman Narasimhan,0,0,0,1
