accession,sub_row,person,title,role_class,action,verb,sentence
0000004904-17-000017,1,American Electric Power,Vice Chairman,other_exec,departure,retire,"On February 21, 2017, Robert P. Powers, Vice Chairman of American Electric Power Company, Inc. (AEP) indicated his intention to retire from AEP effective August 4, 2017."
0000004904-17-000017,2,Robert P. Powers,Vice Chairman,other_exec,departure,retirement,Mr. Powers will remain Vice Chairman of the Company until his retirement.
0000004904-19-000042,1,American Electric Power,director,director,election,elect,"On September 17, 2019, the Board of Directors (the “Board”) of American Electric Power Company, Inc. (the “Company”) elected Art Garcia to serve as a director of the Company."
0000950142-11-001005,1,Carlos A. Rodriguez,President,president,appointment,promotion,"Prior to his promotion in 2010 to President, Employer Services – National Account Services and Employer Services – International, he served as President, Small Business Services, Employer Services, from 2007 to 2010 and as President of TotalSource, Employer Services from 2000 to 2007."
0000008670-11-000020,1,Mr. Leon,Board of Directors,director,departure,retired,"(b) On August 9, 2011, Mr. Leon G. Cooperman, a director of the Registrant since 1991, retired from the Registrant’s Board of Directors."
0000950142-11-001591,1,Richard T. Clark,director,director,election,elect,"(d) On September 12, 2011, Richard T. Clark was elected to the Registrant’s Board of Directors."
0000950142-11-001656,1,Ms. Sharon,Board of Directors,director,departure,resign,"(b) On September 23, 2011, Ms. Sharon T. Rowlands, a director of the Registrant since 2008, notified the Registrant that she will resign from the Registrant’s Board of Directors effective September 23, 2011."
0000008670-11-000024,1,Automatic Data Processing,Board of Directors,director,departure,retired,"(b) On November 8, 2011, Gary C. Butler, Chief Executive Officer of Automatic Data Processing, Inc. (the “Company”) and a member of the Board of Directors, retired from the Company and resigned from the Board of Directors."
0000008670-11-000024,2,Carlos A. Rodriguez,President and Chief Operating Officer,COO,appointment,promotion,"Prior to his promotion in 2011 to President and Chief Operating Officer, he served as President, Employer Services – National Account Services and Employer Services – International from 2010 to 2011, as President, Small Business Services, Employer Services, from 2007 to 2010 and as President of TotalSource, Employer Services from 2000 to 2007."
0000008670-11-000024,3,Carlos A. Rodriguez,director,director,election,elect,"(d) On November 8, 2011, the Company’s Board of Directors elected Carlos A. Rodriguez to the Board of Directors."
0000950142-11-001898,1,Gary C. Butler,Chief Executive Officer,CEO,departure,retirement,"The Separation Agreement sets forth the terms of Mr. Butler’s retirement from the Company, including, among other things, his rights under the Company’s employee benefit plans and his rights to certain other payments in connection with his retirement, the treatment of his outstanding equity awards and certain non-competition, non-solicitation and confidentiality undertakings."
0000950142-11-002020,1,Mr. Rodriguez,President and Chief Executive Officer,CEO,appointment,will serve as,"On December 14, 2011, Automatic Data Processing Inc. (the “Company”) and Mr. Carlos Rodriguez entered into an employment letter agreement (the “Employment Agreement”) pursuant to which Mr. Rodriguez will serve as President and Chief Executive Officer of the Company for a three-year term beginning November 8, 2011."
0000950142-11-002022,1,Ellen Alemany,director,director,election,elect,"(d) On December 14, 2011, Ellen Alemany was elected to the Registrant’s Board of Directors."
0001171843-12-003874,1,Jan Siegmund,Chief Financial Officer,CFO,appointment,appointed,"(c) On November 1, 2012, the Company announced that Jan Siegmund, the Company's Chief Strategy Officer and President, Added Value Services, has been appointed Chief Financial Officer of the Company, effective November 5, 2012."
0001171843-12-003874,2,Jan Siegmund,Chief Strategy Officer,other_exec,appointment,promotion,"Prior to his promotion, he served as both Chief Strategy Officer, with overall responsibility for the Company's strategy, product management, marketing and corporate development, as well as President of the Added Value Services division, overseeing tax, compliance services and insurance services."
0000950142-13-001766,1,Mr. Enrique,director,director,departure,not stand for re-election,"(b) On August 6, 2013, Mr. Enrique T. Salem notified the Board of Directors of the Registrant that he will not stand for re-election as a director of the Registrant at the end of his current term, and intends to resign from the Registrant’s Board of Directors effective as of the date of the Registrant’s 2013 Annual Meeting of Shareholders."
0000012927-14-000070,1,Shephard W. Hill,"President, Boeing International and Senior Vice President",president,departure,retire,"On December 19, 2014, The Boeing Company (the “Company”) issued a press release with respect to the announcement by Shephard W. Hill, President, Boeing International and Senior Vice President, Business Development and Strategy, of his intention to retire from the Company effective April 1, 2015."
0000012927-15-000035,1,"James McNerney, Jr.",Chief Executive Officer,CEO,departure,step down,"On June 22, 2015, W. James McNerney, Jr. decided to step down as Chief Executive Officer of The Boeing Company (the “Company”) effective July 1, 2015 (the “Effective Date”) and Dennis A. Muilenburg was elected as President and Chief Executive Officer of the Company and a member of the Board of Directors (the “Board”) as of the Effective Date."
0000012927-15-000035,2,Dennis A. Muilenburg,Chief Executive Officer,CEO,appointment,to serve as,"In addition, Mr. Muilenburg will receive 18,709 restricted stock units, effective as of the Effective Date and upon his commencing to serve as the Company’s Chief Executive Officer on the Effective Date."
0000012927-15-000035,3,Dennis A. Muilenburg,director,director,election,elect,"The Board also appointed Mr. Muilenburg to serve as Chair of the Board’s Special Programs Committee and as the sole member of the Board’s Stock Plan Committee, in each case as of the Effective Date."
0000012927-15-000061,1,Lynn J. Good,director,director,election,elect,"On August 11, 2015, the Board of Directors (the “Board”) of The Boeing Company (the “Company”) elected Lynn J. Good, Vice Chairman, President and CEO of Duke Energy Corporation, as a new director."
0000012927-15-000083,1,Randall L. Stephenson,director,director,election,elect,"On December 14, 2015, the Board of Directors (the “Board”) of The Boeing Company (the “Company”) elected Randall L. Stephenson, Chairman and Chief Executive Officer of AT&T Inc., as a new director effective as of February 17, 2016 (the ""Effective Date"")."
0000012927-16-000105,1,"James McNerney, Jr.",Board of Directors (the “Board,director,departure,step down,"On February 18, 2016, W. James McNerney, Jr. decided to step down as Chairman and a member of the Board of Directors (the “Board”) of The Boeing Company (the “Company”) effective March 1, 2016."
0000012927-16-000105,2,Dennis A. Muilenburg,"Chief Executive Officer of the Company, to serve as Chairman of the Board",CEO,appointment,to serve as,"The Board elected Dennis A. Muilenburg, President and Chief Executive Officer of the Company, to serve as Chairman of the Board effective March 1, 2016."
0000012927-16-000147,1,Robert A. Bradway,director,director,election,elect,"On October 14, 2016, the Board of Directors (the “Board”) of The Boeing Company (the “Company”) elected Robert A. Bradway, Chairman and Chief Executive Officer of Amgen Inc., as a new director."
0000012927-16-000165,1,Raymond L. Conner,President and Chief Executive Officer,CEO,departure,step down,"On November 16, 2016, Raymond L. Conner notified The Boeing Company of his decision to step down as President and Chief Executive Officer, Boeing Commercial Airplanes."
0000012927-16-000165,2,Kevin G. McAllister,President and Chief Executive Officer,CEO,appointment,to serve as,"The Board of Directors has elected Kevin G. McAllister to serve as President and Chief Executive Officer, Boeing Commercial Airplanes effective November 21, 2016."
0000012927-17-000040,1,Gregory D. Smith,Chief Financial Officer and Executive Vice President,CFO,appointment,to serve as,"The Award was granted in connection with the expansion of Mr. Smith's responsibilities beginning July 1, 2017, at which time he will begin to serve as the Company’s Chief Financial Officer and Executive Vice President, Enterprise Performance & Strategy, as well as in recognition of his performance and as a retention vehicle."
0001193125-12-134562,1,Edward A. Mueller,Board of Directors,director,departure,resign,"On March 27, 2012, Edward A. Mueller announced his intention to resign from our Board of Directors, effective the date of our 2012 annual meeting of shareholders, which is scheduled for May 23, 2012."
0001193125-13-012088,1,James E. Ousley,Chief Executive Officer,CEO,appointment,to serve as,"Under the Extended Agreement, Mr. Ousley will continue to serve as Savvis’ Chief Executive Officer."
0001193125-13-124519,1,James E. Ousley,Chief Executive Officer,CEO,departure,retire,"(b) James E. Ousley, Chief Executive Officer, Savvis Operations, will retire effective April 1, 2013."
0001193125-13-124519,2,James E. Ousley,Chief Executive Officer,CEO,departure,retirement,A press release announcing his retirement is attached as Exhibit 99.1.
0001193125-15-210785,1,Karen A. Puckett,President,president,departure,departure,"(e) In connection with Ms. Puckett’s departure, the Compensation Committee of the Company’s Board of Directors has approved certain changes to her outstanding equity awards."
0001193125-15-378521,1,Although Ms,director,director,election,elect,"Although Ms. Landrieu has not yet been appointed to serve on any Board committee, the Board expects to do so as part of their regular 2016 committee assessment and appointment process."
0001193125-16-436965,1,,director,director,election,elect,"Appointment of New Director On January 19, 2016, the Board of Directors (the “Board”) of CenturyLink, Inc. (the “Company”), on the recommendation of its Nominating and Corporate Governance Committee, appointed Martha Bejar to the Board effective immediately."
0001193125-16-436965,2,Although Ms,director,director,election,elect,"Although Ms. Bejar has not yet been appointed to serve on any Board committee, the Board expects to do so as part of their regular 2016 committee assessment and appointment process."
0001193125-16-436965,3,Joseph Zimmel,"Director Separately, Joseph Zimmel advised the Board",director,departure,Resignation,"Resignation of Director Separately, Joseph Zimmel advised the Board on January 19, 2016 that he was resigning effective immediately."
0001193125-16-436965,4,Joseph Zimmel,Board,director,departure,resignation,"Mr. Zimmel’s resignation was the culmination of a series of conversations over a six week period between him and the Company’s Chairman of the Board (“Board Chairman”), between him and other Board members, between the Board Chairman and other Board members and, ultimately, a decision by the Nominating and Corporate Governance Committee (the “Committee”) not to include his name on the slate of directors it recommended to the Board for nomination at the Company’s 2016 Annual Meeting of Shareholder"
0001193125-16-436965,5,Joseph Zimmel,Board,director,departure,not to stand for re-election,2 It was the Board Chairman’s intent to make Mr. Zimmel aware of the issue before raising it with the full Committee or Board to provide Mr. Zimmel an opportunity to voluntarily decide not to stand for re-election.
0001193125-16-436965,6,Joseph Zimmel,director,director,election,elect,"After the new director was appointed and the Committee Chair and Board Chairman briefly introduced the topic of the 2016 slate, Mr. Zimmel was given the floor."
0001193125-16-436965,7,Joseph Zimmel,Board,director,departure,stepping down,"Among the items cited by Mr. Zimmel to support his position was that the Board Chairman had met with him in December 2015 to ask him to consider stepping down from the Board upon completion of his current term, having discussed the issue with a few directors that Mr. Zimmel described as self-interested and before the Committee had met to discuss the 2016 director slate."
0001193125-16-436965,8,Joseph Zimmel,Board,director,departure,resigned,"Upon completion of his comments, Mr. Zimmel resigned from the Board effectively immediately."
0001193125-16-436965,9,Joseph Zimmel,director,director,election,elect,"After summing up comments from the Board Chairman, the Board unanimously approved the slate recommended by the Committee, with the newly appointed director and the director who had spoken in support of Mr. Zimmel abstaining from the vote."
0001193125-16-436965,10,Joseph Zimmel,Board,director,departure,resignation,"Subsequent to his resignation, Mr. Zimmel has continued to express to the Company his view that the process leading to his omission from the 2016 slate was driven by a few self-interested directors and that it raised serious governance, transparency and honesty issues."
0001193125-16-436965,11,Joseph Zimmel,Board,director,departure,resignation,"He requested that the Company include a statement from him in the public disclosure relating to his resignation, a copy of which is filed with this Form 8-K as Exhibit 99.1."
0001193125-17-053977,1,,Directors of Certain Officers; Election of Directors,director,departure,Departure,"Departure of Directors of Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers On February 22, 2017, Gregory J. McCray, a director of CenturyLink, Inc. (the “Company”) since 2005, notified the Company of his decision to resign from the Company’s Board of Directors effective February 23, 2017, following his acceptance of a position with Access, an Alphabet subsidiary."
0001193125-17-053977,2,Gregory J. McCray,director,director,departure,resignation,A copy of the Company’s press release announcing Mr. McCray’s resignation is attached hereto as Exhibit 99.1 and is incorporated herein by reference.
0001193125-18-281219,1,Sunit S. Patel,Executive Vice President and Chief Financial Officer,CFO,departure,resign,"(b), (c) On September 21, 2018, Sunit S. Patel, Executive Vice President and Chief Financial Officer of CenturyLink, Inc. (the “Company”), notified the Company of his decision to resign from all positions with the Company and its subsidiaries, effective September 28, 2018."
0001193125-18-281219,2,Sunit S. Patel,chief financial officer,CFO,appointment,appointed,"In the meantime, the Company has appointed Indraneel (“Neel”) Dev to serve as interim chief financial officer effective upon Mr. Patel’s departure."
0001193125-18-319718,1,Amir Hussain,Executive Vice President and Chief Technology Officer,other_exec,departure,stepped down,"(b), (e) On November 6, 2018, Amir Hussain, who previously served as our Executive Vice President and Chief Technology Officer, stepped down from all positions with CenturyLink, Inc. (the “Company”) and its subsidiaries, effective immediately."
0001193125-18-319718,2,Amir Hussain,Executive Vice President Chief Technology Officer,other_exec,departure,departure,"However, the shares of time-based and performance-based restricted stock granted to him in February 2018 were forfeited upon his departure."
0001193125-18-319714,1,,Executive Vice President and Chief Financial Officer,CFO,appointment,appointed,"(c) On November 6, 2018, Indraneel (“Neel”) Dev was appointed to serve as Executive Vice President and Chief Financial Officer of CenturyLink, Inc. (the “Company”) and its subsidiaries, effective immediately."
0001193125-18-319714,2,Mr. Dev,"Chief Financial Officer, he served the Company as Group Vice President",CFO,appointment,appointment,"Prior to Mr. Dev’s appointment as interim Chief Financial Officer, he served the Company as Group Vice President, Finance, with responsibility for business unit finance support, supply chain and procurement, capital governance management, budgeting and financial performance analysis and management."
0001193125-19-325996,1,Although Mr,director,director,election,elect,"Although Mr. Jones has not yet been appointed to serve on any Board committee, the Board expects to do so as part of its regular 2020 committee assessment and appointment process."
0001193125-19-325996,2,Glen F. Post,board of directors,director,departure,retirement,"On December 30, 2019, the Company issued a press release announcing, among other things, the retirement of Mr. Post and Mr. Perry and the appointment of Mr. Jones."
0001193125-21-011905,1,Eric J. Mortensen,Senior Vice President Controller,PAO,departure,retirement,"(c) The Company has named Andrea Genschaw as Mr. Mortensen’s successor and plans to appoint her as Senior Vice President and Controller (and principal accounting officer) effective upon Mr. Mortensen’s retirement on or about May 14, 2021."
0001193125-21-056971,1,Although Mr,director,director,election,elect,"Although Mr. Allen has not yet been appointed to serve on any Board committee, the Board expects to do so as part of its regular 2021 committee assessment and appointment process."
0001193125-22-085992,1,Indraneel Dev,Executive Vice President and Chief Financial Officer of the Company and its principal subs,CFO,departure,succeed/replace,"(b), (c), (e) On March 28, 2022, Lumen Technologies, Inc. (the “Company”) announced that Christopher D. Stansbury would succeed Indraneel Dev as Executive Vice President and Chief Financial Officer of the Company and its principal subsidiaries, effective as of April 4, 2022 (the “Transition Date”)."
0001193125-22-243230,1,Jeffrey K. Storey,President and Chief Executive Officer of the Company and its principal subsidiaries and as,CEO,departure,succeed/replace,"On September 13, 2022, Lumen Technologies, Inc. (the “Company”) announced that Kate Johnson would succeed Jeffrey K. Storey as President and Chief Executive Officer of the Company and its principal subsidiaries and as a director on the Company’s Board of Directors (the “Board”), expected to be effective as of November 7, 2022 (such effective date, the “Transition Date”)."
0001193125-22-243230,2,Jeffrey K. Storey,Board,director,departure,resign,"Mr. Storey will resign as a member of the Board on the Transition Date, but will remain employed by the Company as its Senior Advisor to the Board and CEO from the Transition Date until December 31, 2022 (the “Transition Period”), after which he will retire from all remaining positions held with the Company and from substantially all remaining positions held with the Company’s subsidiaries."
0001193125-20-050127,1,Daniel McCarthy,"Chief Executive Officer in December 2019, succeeding CEO",CEO,departure,succeed/replace,"Mr. Han was named President and Chief Executive Officer in December 2019, succeeding CEO Daniel McCarthy, and his compensation under the 2020 program reflected herein is as set forth and previously disclosed in his Employment Agreement, dated December 3, 3019."
0001140361-20-028400,1,Nick Jeffery,Board intends to appoint Mr. Jeffery as President and Chief Executive Officer,CEO,appointment,appoint,"On December 7, 2020, the Board of Directors (the “ Board ”) of Frontier Communications Corporation (the “ Company ”) entered into an employment agreement (the “ Employment Agreement ”) with Nick Jeffery, pursuant to which the Board intends to appoint Mr. Jeffery as President and Chief Executive Officer of the Company, to be effective on March 1, 2021 (the “ Start Date ”)."
0001140361-20-028400,2,Nick Jeffery,director,director,election,elect,"In addition, on the later of the Start Date and the date of the Company’s emergence from chapter 11 bankruptcy, Mr. Jeffery will be appointed as a member of the Board."
0001140361-20-028400,3,Mr. John,"Board and to Mr. John Stratton, who will serve as Executive Chairman of the Board",other_exec,appointment,will serve as,"Mr. Jeffery will report to the Board and to Mr. John Stratton, who will serve as Executive Chairman of the Board upon emergence."
0001140361-20-028400,4,Bernard L. Han,President and Chief Executive Officer,CEO,departure,step down,"Mr. Jeffery will succeed Bernard L. Han, who will step down as President and Chief Executive Officer on the Start Date."
0001140361-20-028400,5,Bernard L. Han,President and Chief Executive Officer,CEO,departure,succeed/replace,"Mr. Jeffery will succeed Bernard L. Han, who will step down as President and Chief Executive Officer on the Start Date."
0001140361-21-005386,1,Nick Jeffery,Chief Executive Officer,CEO,appointment,appointed,"On February 16, 2021, the Board of Directors (the “Board”) of Frontier Communications Corporation (the “Company”) appointed Nick Jeffery to serve as Chief Executive Officer of the Company effective as of March 4, 2021, following a brief transition period commencing February 22, 2021."
0001140361-21-005386,2,Nick Jeffery,director,director,election,elect,Mr. Jeffery will be appointed as a member of the Board upon the Company’s emergence from Chapter 11 bankruptcy.
0001140361-21-005386,3,Bernard L. Han,President and Chief Executive Officer,CEO,departure,step down,"Mr. Jeffery will succeed Bernard L. Han, who will step down as President and Chief Executive Officer on March 4, 2021."
0001140361-21-005386,4,Bernard L. Han,President and Chief Executive Officer,CEO,departure,succeed/replace,"Mr. Jeffery will succeed Bernard L. Han, who will step down as President and Chief Executive Officer on March 4, 2021."
0001140361-21-005386,5,Bernard L. Han,President Chief Executive Officer,CEO,departure,separation from,"In addition, upon his separation from service, Mr. Han will also be entitled to a lump sum cash payment representing the deferred portion of his performance-based incentive plan awards for 2020."
0001140361-21-015200,1,John G. Stratton,Chief Marketing Officer,other_exec,appointment,named,"Mr. Stratton served as Verizon’s Chief Marketing Officer, and in 2009 was named as the No. 2 global “power player” by Ad Age magazine."
0001140361-21-015200,2,Old Frontier,executive officer,other_exec,appointment,appointed,"Executive Officers In accordance with the Plan, on the Effective Date, the following executive officers of Old Frontier were appointed as executive officers of the Company, in the following capacities: Name Age Current Position and Office Nick Jeffery 53 President, Chief Executive Officer Veronica Bloodworth 51 Executive Vice President, Chief Network Officer Sheldon L. Bruha 53 Executive Vice President, Chief Financial Officer Mark D. Nielsen 56 Executive Vice President, Chief Legal & Regulatory"
0001140361-21-015200,3,Old Frontier,executive officer,other_exec,appointment,named,"Biographical information for the other executive officers named above is set forth in Old Frontier’s Annual Report on Form 10-K for the year ended December 31, 2020, filed with the Commission on March 3, 2021, under the section entitled “Item 10."
0001193125-21-179930,1,Sheldon Bruha,Executive Vice President Chief Financial Officer,CFO,departure,Departure,"Departure of Sheldon Bruha On June 2, 2021, Frontier Communications Parent, Inc. (the “ Company ”) announced that Sheldon Bruha, Executive Vice President and Chief Financial Officer of the Company, will be departing from his position effective as of June 14, 2021, in order to pursue other opportunities."
0001193125-21-179930,2,Sheldon Bruha,Executive Vice President Chief Financial Officer,CFO,departure,departure,"Appointment of Scott C. Beasley as Chief Financial Officer In connection with Mr. Bruha’s departure, the Company announced today that Scott C. Beasley will join the Company as Executive Vice President and Chief Financial Officer of the Company, effective as of June 14, 2021."
0001193125-21-205666,1,Margaret M. Smyth,director,director,election,elect,"In addition, Ms. Smyth was appointed by the Board to serve as Chair of the Audit Committee (succeeding Maryann Turcke, who will remain a member of the Audit Committee) and to serve as a member of the Operations Committee."
0000020520-21-000008,1,,Executive Vice President and Chief Digital and Information Officer,other_exec,departure,Departure,"Departure of Certain Officers Steve Gable, Executive Vice President and Chief Digital and Information Officer, resigned from his position on May 12, 2021."
0000020520-21-000008,2,Ken Arndt,Executive Vice President and Chief Customer Operations Officer,other_exec,departure,resigned,"Ken Arndt, Executive Vice President and Chief Customer Operations Officer, resigned from his position on May 20, 2021."
0000020520-21-000008,3,Ken Arndt,Executive Vice President Chief Customer Operations Officer,other_exec,departure,left the Company,Both Mr. Gable and Mr. Arndt left the Company following a brief transition period.
0001140361-22-023997,1,William McGloin,"Vice President, Controller, has been appointed Chief Accounting Officer and Controller",PAO,appointment,appointed,"William McGloin, currently Frontier’s Vice President, Controller, has been appointed Chief Accounting Officer and Controller, effective June 24, 2022, with the roles of Chief Accounting Officer and Controller being combined."
0001019687-16-005064,1,Richard H. Anderson,Chief Executive Officer,CEO,departure,retire,"On February 3, 2016, the Board of Directors of Delta Air Lines, Inc. (“Delta”) announced that Richard H. Anderson has chosen to retire from his position as Chief Executive Officer of Delta effective May 2, 2016."
0001019687-16-005064,2,Francis S. Blake,director,director,election,elect,"The Board also appointed Francis S. Blake to serve as Lead Director effective May 2, 2016."
0001683168-16-000288,1,Richard H. Anderson,Board and the position of Executive Chairman,other_exec,departure,retirement,"On October 10, 2016, Richard H. Anderson, Executive Chairman of the Board of Directors of Delta Air Lines, Inc. (“Delta”), informed the Board of Directors of Delta of his retirement from the Board and the position of Executive Chairman."
0001683168-16-000288,2,Francis S. Blake,executive Chairman,other_exec,appointment,to serve as,"On October 11, 2016, the Board of Directors elected Francis S. Blake to serve as its non-executive Chairman effective immediately."
0001683168-17-000167,1,Jeanne P. Jackson,director,director,election,elect,"On January 25, 2017, the Board of Directors of Delta Air Lines, Inc. (“Delta”) elected Jeanne P. Jackson to Delta’s Board of Directors."
0001683168-17-000167,2,Jeanne P. Jackson,director,director,election,elect,The Board of Directors appointed Ms. Jackson to serve on the Board’s Audit Committee and Personnel & Compensation Committee.
0001683168-17-000876,1,Thomas E. Donilon,Board,director,departure,resigned,"(b) Thomas E. Donilon, a member of the Board of Directors of Delta Air Lines, Inc. (""Delta""), resigned from the Board effective as of April 7, 2017 due to other commitments."
0001683168-17-002723,1,Ash Carter,director,director,election,elect,"On October 23, 2017, the Board of Directors of Delta Air Lines, Inc. (“Delta”) elected Ash Carter to Delta’s Board of Directors."
0001683168-17-002723,2,Ash Carter,director,director,election,elect,The Board of Directors appointed Secretary Carter to serve on the Board’s Audit Committee and Safety and Security Committee.
0001683168-18-001046,1,Michael P. Huerta,director,director,election,elect,"On April 20, 2018, the Board of Directors of Delta Air Lines, Inc. (“Delta”) elected Michael P. Huerta to Delta’s Board of Directors."
0001683168-18-001046,2,Michael P. Huerta,director,director,election,elect,The Board of Directors appointed Mr. Huerta to serve on the Board’s Audit Committee and Safety & Security Committee.
0001144204-12-058285,1,Kent E. Mast,Vice President,other_exec,departure,retire,"On October 29, 2012, Equifax Inc. (the “Company”) was notified by Kent E. Mast, age 69, the current Corporate Vice President and Chief Legal Counsel of the Company, that he intends to retire from this position effective December 31, 2012, following 13 years of service as general counsel."
0001144204-12-058285,2,Kent E. Mast,Corporate Vice President and Chief Legal Counsel of the Company,president,departure,succeed/replace,"The Board of Directors has elected John J. Kelley, III to succeed Mr. Mast as Corporate Vice President and Chief Legal Counsel of the Company, effective as of January 1, 2013."
0001144204-13-027066,1,Young LLP,director,director,election,elect,The shareholders elected all of the Company’s nominees for director; ratified the appointment of Ernst & Young LLP as the Company’s independent registered public accounting firm for the fiscal year 2013; approved the Amended and Restated Omnibus Incentive Plan; approved the material terms of the performance goals under the 2008 Omnibus Incentive Plan; and approved the advisory vote on named executive officer compensation.
0001144204-13-055259,1,Robert D. Marcus,director,director,election,elect,"(d) On October 15, 2013, Equifax Inc. (the “Company”) announced that Robert D. Marcus has been appointed a member of the Board of Directors of the Company, effective November 1, 2013, for a term expiring at the next annual meeting of shareholders scheduled to be held in May 2014."
0001144204-13-055259,2,Robert D. Marcus,director,director,election,elect,"Mr. Marcus also has been appointed a member of the Governance Committee of the Board effective January 1, 2014."
0001144204-14-029598,1,Lee Adrean,Vice President Chief Financial Officer,CFO,departure,retire,"On May 12, 2014, Equifax Inc. (the “Company”) announced that Lee Adrean, age 62, the Company’s Corporate Vice President and Chief Financial Officer since 2006, will retire and that Mr. John W. Gamble, Jr. has been appointed to that position effective May 21, 2014."
0001193125-16-713479,1,Thomas Hough,director,director,election,elect,"On September 14, 2016, the Board of Directors of Equifax Inc. (the “Company”) elected G. Thomas Hough as a director, effective October 1, 2016, for a term expiring at the next annual meeting of shareholders."
0001193125-16-771552,1,,director,director,election,elect,"On November 18, 2016, the Board of Directors of Equifax Inc. (the “Company”) elected Elane B. Stock as a director, effective January 1, 2017, for a term expiring at the next annual meeting of shareholders."
0001193125-17-293765,1,Richard F. Smith,Chief Executive Officer and a director,CEO,departure,retire,"On September 26, 2017, Equifax Inc. (the “Company”) announced that Richard F. Smith (“Smith”) will retire as Chairman and Chief Executive Officer and a director of the Company."
0001193125-17-293765,2,"Rego Barros, Jr.",director,director,election,elect,"Effective September 26, 2017, the board of directors of the Company: (i) appointed Paulino do Rego Barros, Jr. as Interim Chief Executive Officer and (ii) appointed director Mark L. Feidler as Non-Executive Chairman."
0001193125-17-301130,1,"Rego Barros, Jr.",Chief Executive Officer,CEO,appointment,appointed,"On September 26, 2017, the board of directors of Equifax Inc. (the “Company”) entered into an arrangement with the Company’s newly appointed interim Chief Executive Officer, Paulino do Rego Barros, Jr. with respect to his compensation in connection with his new role."
0001193125-17-320321,1,Scott A. McGregor,director,director,election,elect,"On October 25, 2017, the Board of Directors of Equifax Inc. (the “Company”) elected Scott A. McGregor to the Board of Directors, for a term expiring at the next annual meeting of shareholders."
0001564590-21-037515,1,"Roger W. Ferguson, Jr.",Board of Directors,director,departure,decided not to stand,"On July 16, 2021, Roger W. Ferguson, Jr. informed the Company that he has decided not to stand for reelection to the Board of Directors at the Company’s 2021 Annual Meeting of Shareholders."
0001193125-21-350290,1,John R. Church,Chief Transformation & Enterprise Services Officer,other_exec,departure,retire,"On December 7, 2021, General Mills, Inc. (the “Company”) announced that John R. Church, Chief Transformation & Enterprise Services Officer, will retire from the Company effective January 31, 2022."
0001193125-22-185819,1,Kim Goodwin,director,director,election,elect,"On June 27, 2022, C. Kim Goodwin was appointed to the Board of Directors of General Mills, Inc. (the “Company”)."
0001193125-22-185819,2,Kim Goodwin,director,director,election,elect,Ms. Goodwin was appointed to the Compensation Committee and the Corporate Governance Committee of the Board.
0001193125-23-137156,1,David M. Cordani,Board of Directors,director,departure,decided not to stand,"On May 1, 2023, David M. Cordani informed the Company that he has decided not to stand for reelection to the Board of Directors at the Company’s 2023 Annual Meeting of Shareholders in September."
0001437749-15-014446,1,Gray Television,director,director,election,elect,"On July 31, 2015, the Board of Directors (the “Board”) of Gray Television, Inc. (the “Company”), increased the size of the Board by one to nine, and appointed Elizabeth (Beth) Neuhoff, the President and Chief Executive Officer of Neuhoff Communications, Inc., which is a privately owned radio and digital media company focused on small-to mid-size communities, as a member of the Board to serve until the Company’s annual meeting of shareholders in 2016."
0001437749-16-024501,1,Gray Television,Senior Vice President,other_exec,appointment,promotion,"On January 27, 2016, Gray Television, Inc. (“Gray,” the “Company” or “our”), announced the promotion of its five Senior Vice Presidents to new positions in response to the Company's growing scale, diversification and profile."
0001437749-16-024501,2,Bob Smith,Vice President,other_exec,appointment,named,Bob had a long career as a sales manager and general manager for various stations prior to being named a Regional Vice President for Gray in 2002.
0001437749-16-034694,1,Gray Television,director,director,election,elect,"Effective June 30, 2016, the Board of Directors (the “Board”) of Gray Television, Inc. (the “Company”), increased the size of the Board from eight to nine members, and appointed Luis A. Garcia to serve as a Director until the Company’s annual meeting of shareholders in 2017."
0001437749-16-038936,1,Gray Television,director,director,election,elect,"On September 20, 2016, Gray Television, Inc. (the “Company”) announced that the Company had increased the size of its Board of Directors from nine to ten members, and had appointed Richard B. Hare to serve as a Director until the Company’s annual meeting of shareholders in 2017."
0001437749-16-038936,2,Richard B. Hare,director,director,election,elect,Mr. Hare was also appointed to the Audit Committee of the Board.
0001193125-21-057034,1,Gray Television,director,director,election,elect,"Effective on February 25, 2021, the Board of Directors (the “Board”) of Gray Television, Inc. (the “Company”), upon the recommendation of the Nominating and Corporate Governance Committee, increased the size of the Board from nine to ten members and appointed Sterling A. Spainhour, Jr. to serve as a director."
0001193125-21-057034,2,Mr. Spainhour,director,director,election,elect,"There are no arrangements or understandings between Mr. Spainhour and any other persons pursuant to which Mr. Spainhour was appointed as a director, and Mr. Spainhour is not a party to any transaction with the Company reportable pursuant to Item 404(a) of Regulation S-K under the Securities Act of 1933."
0001437749-22-004783,1,Gray Television,director,director,election,elect,"On February 24, 2022, the Board of Directors (the “Board”) of Gray Television, Inc. (the “Company”), upon the recommendation of the Nominating and Corporate Governance Committee, increased the size of the Board from ten to eleven members and appointed Lorri McClain to serve as a director, effective March 1, 2022."
0001437749-22-004783,2,Lorri McClain,director,director,election,elect,"There are no arrangements or understandings between Ms. McClain and any other persons pursuant to which Ms. McClain was appointed as a director, and Ms. McClain is not a party to any transaction with the Company reportable pursuant to Item 404(a) of Regulation S-K under the Securities Act of 1933."
