final_cik,breach_date,org_name,treated,outcome_cik,win_lo,win_hi
320193,2014-08-31,Apple Inc.,0,320193,2012-08-31,2015-02-27
320193,2015-07-01,Apple Inc.,0,320193,2013-07-01,2016-02-21
320193,2015-09-18,Apple Inc.,0,320193,2013-09-16,2016-03-16
320193,2019-02-02,Apple Inc.,0,320193,2017-02-02,2019-11-26
320193,2020-11-01,Apple Inc.,0,320193,2018-11-02,2021-04-30
1336920,2022-09-30,"Leidos, Inc.",0,1336920,2020-09-30,2023-12-05
354190,2017-06-01,Gallagher NAC,0,354190,2015-06-02,2018-05-12
354190,2017-06-18,Gallagher NAC,0,354190,2015-06-19,2018-05-12
354950,2014-02-10,The Home Depot,0,354950,2012-02-11,2014-09-10
708818,2023-03-29,"NextGen Healthcare, Inc.",0,708818,2021-03-29,2023-10-25
723254,2020-09-16,Cintas Corporation,0,723254,2018-09-17,2021-08-17
731766,2024-02-12,Change Healthcare Inc.,0,731766,2022-02-12,2025-01-30
732712,2008-06-27,Verizon,1,732712,2006-06-28,2008-12-24
732712,2014-01-20,Verizon Corporate Services Group Inc.,1,732712,2012-01-21,2014-08-24
732712,2014-02-26,Verizon,1,732712,2012-02-27,2014-08-25
732712,2016-08-10,Verizon,1,732712,2014-08-11,2018-01-16
732712,2017-07-20,Verizon,1,732712,2015-07-21,2018-01-16
732712,2019-03-12,Verizon Media,0,732712,2017-03-12,2020-04-04
732712,2019-04-24,Verizon,1,732712,2017-04-24,2019-11-27
732712,2019-06-03,Verizon,1,732712,2017-06-03,2019-11-30
732712,2023-05-11,Verizon,1,732712,2021-05-11,2023-11-07
732712,2023-09-21,Verizon Communications Inc.,1,732712,2021-09-21,2024-08-03
732712,2024-02-06,Verizon Communications Inc.,1,732712,2022-02-06,2024-08-04
732717,2008-05-23,AT&T,1,732717,2006-05-24,2008-11-19
732717,2012-01-01,AT&T,1,732717,2010-01-01,2012-08-11
732717,2013-01-01,AT&T,1,732717,2011-01-02,2015-10-18
732717,2013-11-05,AT&T,1,732717,2011-11-06,2014-12-08
732717,2014-02-01,AT&T,1,732717,2012-02-02,2015-10-17
732717,2014-04-01,AT&T,1,732717,2012-04-01,2014-12-10
732717,2014-04-09,"AT&T Services, Inc.",1,732717,2012-04-09,2014-12-02
732717,2014-06-05,"AT&T Services, Inc.",1,732717,2012-06-05,2015-10-17
732717,2014-06-11,AT&T,1,732717,2012-06-11,2015-10-17
732717,2014-08-05,ATT-Breach Notification,0,732717,2012-08-05,2015-03-31
732717,2014-08-11,"AT&T Services, Inc.",1,732717,2012-08-11,2015-03-30
732717,2014-10-09,AT&T,1,732717,2012-10-09,2015-04-07
732717,2014-10-16,ATT-Breach Notification,0,732717,2012-10-16,2015-06-17
732717,2017-01-01,"AT&T Services, Inc.",1,732717,2015-01-02,2017-11-15
732717,2017-01-25,AT&T,1,732717,2015-01-26,2017-11-15
732717,2017-02-01,AT&T Services,1,732717,2015-02-02,2018-03-13
732717,2018-08-17,Cricket Wireless LLC,1,732717,2016-08-17,2019-02-13
732717,2018-08-21,Cricket Wireless LLC,1,732717,2016-08-21,2019-02-17
732717,2019-01-01,"AT&T, Inc.",1,732717,2017-01-01,2024-09-28
732717,2022-06-01,AT&T,1,732717,2020-06-01,2024-09-26
732717,2022-08-30,"AT&T Services, Inc.",1,732717,2020-08-30,2023-08-23
732717,2023-03-01,"AT&T Services, Inc.",1,732717,2021-03-01,2023-08-28
732717,2024-03-17,AT&T Inc.,1,732717,2022-03-18,2024-10-06
732717,2024-03-26,AT&T Inc.,1,732717,2022-03-27,2024-10-06
732717,2024-04-09,AT&T Inc,1,732717,2022-04-10,2024-10-06
732717,2024-04-14,AT&T Inc.,1,732717,2022-04-11,2024-10-11
764180,2006-12-01,"Altria Group, Inc.",0,764180,2004-12-01,2007-07-09
771497,2018-01-08,ABM Industries Incorporated,0,771497,2016-01-09,2019-09-08
773840,2021-02-16,Honeywell International Inc.,0,773840,2019-02-17,2021-10-30
773840,2023-05-27,"Honeywell International, Inc.",0,773840,2021-05-27,2024-03-11
773840,2023-06-03,Honeywell International Inc.,0,773840,2021-06-03,2024-03-16
789019,2017-07-05,Microsoft Corporation,0,789019,2015-07-06,2018-04-15
789019,2019-12-05,Microsoft Corporation,0,789019,2017-12-05,2020-07-20
789019,2022-03-01,Microsoft Corporation,0,789019,2020-03-01,2022-09-18
789019,2022-09-24,Microsoft Corporation,0,789019,2020-09-24,2023-04-17
789019,2023-05-28,"Nuance Communications, Inc.",0,789019,2021-05-28,2024-03-13
789570,2019-07-07,MGM Resorts International,0,789570,2017-07-07,2020-03-02
789570,2023-09-08,MGM Resorts International,0,789570,2021-09-08,2024-04-02
790070,2014-01-07,EMC Corporation,0,790070,2012-01-08,2014-08-30
796343,2013-09-11,Adobe Systems Incorporated,0,796343,2011-09-12,2014-04-01
796343,2013-09-17,Adobe Systems Incorporated,0,796343,2011-09-18,2014-03-31
796343,2019-10-19,Adobe Systems Incorporated,0,796343,2017-10-19,2020-04-16
798354,2008-12-02,"Fiserv, Inc.",0,798354,2006-12-03,2009-06-10
798354,2021-09-25,Fiserv,0,798354,2019-09-26,2022-03-24
798354,2023-12-06,Fiserv,0,798354,2021-12-06,2024-06-03
2041610,2023-01-01,Paramount,0,813828,2021-01-01,2024-03-09
2041610,2023-08-10,Paramount Global,0,813828,2021-08-10,2024-02-06
815097,2020-12-25,Carnival Corporation,0,815097,2018-12-26,2022-07-30
815097,2021-03-19,Carnival Corporation,0,815097,2019-03-20,2021-11-21
823768,2021-01-21,"USA Waste-Management Resources, LLC",0,823768,2019-01-22,2021-11-24
831259,2023-08-08,Freeport-McMoRan Inc.,0,831259,2021-08-08,2024-03-06
858877,2012-03-26,"Cisco Systems, Inc.",0,858877,2010-03-27,2012-10-06
858877,2012-04-13,"Cisco Systems, Inc.",0,858877,2010-04-14,2012-10-10
860731,2020-09-21,"Tyler Technologies, Inc.",0,860731,2018-09-22,2021-07-17
872589,2010-06-18,"Regeneron Pharmaceuticals, Inc.",0,872589,2008-06-18,2011-01-22
877890,2013-04-26,Citrix Systems Inc.,0,877890,2011-04-27,2013-12-15
877890,2016-11-15,Citrix Systems,0,877890,2014-11-16,2017-06-04
877890,2018-10-13,"Citrix Systems, Inc.",0,877890,2016-10-13,2019-10-26
892553,2009-07-23,"Chart Industries, Inc.",0,892553,2007-07-24,2010-02-06
896878,2008-05-26,"Intuit, Inc.",0,896878,2006-05-27,2009-03-04
896878,2008-09-24,Intuit,0,896878,2006-09-25,2009-03-23
896878,2014-02-01,"Intuit, Inc.",0,896878,2012-02-02,2015-10-04
896878,2014-04-01,Intuit Inc.,0,896878,2012-04-01,2015-08-14
896878,2014-04-18,Intuit Inc.,0,896878,2012-04-18,2015-08-14
896878,2015-04-07,Intuit,0,896878,2013-04-07,2015-10-04
896878,2015-04-14,Intuit,0,896878,2013-04-14,2015-10-11
896878,2015-05-20,Intuit,0,896878,2013-05-20,2015-11-16
896878,2015-09-18,Intuit Inc,0,896878,2013-09-18,2016-04-24
896878,2015-10-12,Intuit Inc,0,896878,2013-10-12,2016-05-15
896878,2015-12-01,Intuit,0,896878,2013-12-01,2016-06-20
896878,2015-12-07,Intuit Inc.,0,896878,2013-12-07,2016-06-04
896878,2015-12-31,"Intuit, Inc.",0,896878,2013-12-31,2016-07-13
896878,2016-01-21,Intuit Inc.,0,896878,2014-01-21,2016-08-07
896878,2016-02-04,Intuit,0,896878,2014-02-04,2016-08-29
896878,2016-02-24,Intuit,0,896878,2014-02-24,2016-09-10
896878,2016-02-29,Intuit Inc,0,896878,2014-03-01,2016-09-12
896878,2016-03-07,"Intuit, Inc.",0,896878,2014-03-08,2016-09-28
896878,2016-03-17,Intuit,0,896878,2014-03-18,2016-09-13
896878,2016-03-22,Intuit Inc.,0,896878,2014-03-23,2016-10-25
896878,2016-03-29,Intuit Inc,0,896878,2014-03-30,2017-04-15
896878,2016-04-06,Intuit,0,896878,2014-04-07,2016-11-05
896878,2016-04-14,Intuit Inc.,0,896878,2014-04-15,2016-10-11
896878,2016-04-29,Intuit,0,896878,2014-04-30,2016-10-26
896878,2016-05-17,Intuit,0,896878,2014-05-18,2016-12-07
896878,2016-05-27,Intuit,0,896878,2014-05-28,2016-11-23
896878,2016-06-01,"Intuit, Inc.",0,896878,2014-06-02,2017-01-07
896878,2016-06-09,Intuit Inc,0,896878,2014-06-10,2016-12-18
896878,2016-08-03,Intuit Inc.,0,896878,2014-08-04,2017-02-15
896878,2016-08-22,Intuit Inc.,0,896878,2014-08-23,2017-03-14
896878,2016-09-12,Intuit Inc,0,896878,2014-09-13,2017-03-22
896878,2016-09-26,Intuit Inc.,0,896878,2014-09-27,2017-03-25
896878,2016-10-18,Intuit,0,896878,2014-10-19,2017-04-16
896878,2016-10-23,Intuit Inc.,0,896878,2014-10-24,2017-05-17
896878,2016-10-30,Intuit Inc,0,896878,2014-10-31,2017-05-09
896878,2016-11-22,Intuit Inc,0,896878,2014-11-23,2017-06-10
896878,2016-12-05,"Intuit, Inc.",0,896878,2014-12-06,2017-06-03
896878,2016-12-13,"Intuit, Inc.",0,896878,2014-12-14,2017-06-11
896878,2017-01-01,Intuit Inc.,0,896878,2015-01-02,2017-12-10
896878,2017-01-12,Intuit Inc.,0,896878,2015-01-13,2017-07-25
896878,2017-01-27,Intuit,0,896878,2015-01-28,2017-07-26
896878,2017-02-13,"Intuit, Inc.",0,896878,2015-02-14,2017-08-20
896878,2017-02-20,Intuit Inc.,0,896878,2015-02-21,2017-09-06
896878,2017-02-28,Intuit Inc.,0,896878,2015-03-01,2017-09-13
896878,2017-03-12,Intuit Inc.,0,896878,2015-03-13,2017-09-25
896878,2017-04-02,"Intuit, Inc.",0,896878,2015-04-03,2017-10-14
896878,2017-04-17,Intuit Inc,0,896878,2015-04-18,2017-11-01
896878,2017-04-30,Intuit Inc,0,896878,2015-05-01,2017-11-13
896878,2017-06-01,Intuit Inc.,0,896878,2015-06-02,2018-01-17
896878,2017-06-14,"Intuit, Inc.",0,896878,2015-06-15,2017-12-11
896878,2017-07-30,"Intuit, Inc.",0,896878,2015-07-31,2018-02-11
896878,2017-08-08,Intuit Inc.,0,896878,2015-08-09,2018-02-04
896878,2017-08-16,Intuit Inc.,0,896878,2015-08-17,2018-02-12
896878,2017-08-25,Intuit Inc.,0,896878,2015-08-26,2018-02-21
896878,2017-09-01,Intuit Inc,0,896878,2015-09-02,2018-02-28
896878,2017-10-17,Intuit,0,896878,2015-10-18,2018-04-15
896878,2018-02-06,Intuit Inc.,0,896878,2016-02-07,2018-09-01
896878,2018-03-14,Intuit Inc.,0,896878,2016-03-14,2018-09-10
896878,2018-04-26,Intuit,0,896878,2016-04-26,2018-10-23
896878,2018-05-16,Intuit,0,896878,2016-05-16,2018-11-12
896878,2018-06-15,Intuit Inc,0,896878,2016-06-15,2018-12-12
896878,2019-01-29,"Intuit, Inc.",0,896878,2017-01-29,2019-08-25
896878,2019-02-21,"Intuit, Inc.",0,896878,2017-02-21,2019-09-08
896878,2019-03-21,Intuit Inc.,0,896878,2017-03-21,2020-01-22
896878,2019-03-26,"Intuit, Inc.",0,896878,2017-03-26,2019-09-22
896878,2019-04-07,Intuit Inc.,0,896878,2017-04-07,2019-10-13
896878,2019-04-16,Intuit,0,896878,2017-04-16,2019-10-13
896878,2019-09-20,Intuit Inc,0,896878,2017-09-20,2020-08-19
896878,2020-03-31,Intuit,0,896878,2018-04-01,2020-09-27
896878,2020-04-12,Intuit Inc.,0,896878,2018-04-13,2020-11-09
896878,2022-02-06,Intuit Inc,0,896878,2020-02-07,2022-10-11
896878,2022-04-15,Intuit Inc.,0,896878,2020-04-15,2022-10-12
896878,2023-01-01,Intuit Inc.,0,896878,2021-01-01,2024-03-13
896878,2023-06-04,Intuit Inc,0,896878,2021-06-04,2024-09-11
896878,2023-12-01,Intuit Inc.,0,896878,2021-12-01,2024-09-11
896878,2024-01-29,Intuit Inc.,0,896878,2022-01-29,2025-05-07
896878,2024-03-05,Intuit Inc,0,896878,2022-03-06,2025-06-18
896878,2024-12-20,Intuit Inc.,0,896878,2022-12-21,2025-06-18
908937,2012-03-19,Sirius XM Radio Inc.,0,908937,2010-03-20,2012-10-03
908937,2012-04-12,Sirius XM Satellite Radio,0,908937,2010-04-13,2012-10-09
908937,2016-02-01,Sirius XM Radio Inc.,0,908937,2014-02-01,2016-09-13
908937,2016-04-05,Sirius XM Radio Inc.,0,908937,2014-04-06,2016-10-02
908937,2016-08-20,Sirius XM Radio Inc.,0,908937,2014-08-21,2017-03-13
908937,2016-09-26,Sirius XM Radio Inc,0,908937,2014-09-27,2017-04-01
908937,2016-10-04,"Sirius XM Radio, Inc.",0,908937,2014-10-05,2017-04-02
908937,2016-10-31,Sirius XM Radio Inc.,0,908937,2014-11-01,2017-05-09
908937,2016-11-15,Sirius XM Radio Inc.,0,908937,2014-11-16,2017-05-14
908937,2016-12-04,Sirius XM Radio Inc,0,908937,2014-12-05,2017-06-14
908937,2016-12-19,"Sirius XM Radio, Inc.",0,908937,2014-12-20,2017-06-17
908937,2017-01-06,Sirius XM Radio Inc.,0,908937,2015-01-07,2017-07-24
908937,2017-01-25,"Sirius XM Radio, Inc.",0,908937,2015-01-26,2017-07-24
908937,2017-08-06,Sirius XM Radio Inc.,0,908937,2015-08-07,2018-02-27
908937,2017-09-18,Sirius XM Radio Inc.,0,908937,2015-09-19,2018-03-17
1971213,2020-05-01,"Sinclair Broadcast Group, Inc.",0,912752,2018-05-02,2021-04-03
1971213,2021-06-23,"Sinclair Broadcast Group, Inc.",0,912752,2019-06-24,2022-09-20
1971213,2021-12-16,"Sinclair Broadcast Group, Inc.",0,912752,2019-12-17,2022-06-14
920522,2013-08-13,"Essex Property Trust, Inc.",0,920522,2011-08-14,2015-09-28
1744489,2008-07-29,The Walt Disney Company,0,1001039,2006-07-30,2009-01-25
943452,2022-03-15,Wabtec Corporation,0,943452,2020-03-15,2023-06-28
1000228,2023-09-27,"Henry Schein, Inc.",0,1000228,2021-09-27,2024-06-03
1001082,2023-02-22,"DISH Network, LLC",1,1001082,2021-02-22,2023-11-11
1001082,2023-05-17,"DISH Network, LLC",1,1001082,2021-05-17,2023-11-13
1001250,2023-05-01,The Est̩e Lauder Companies Inc.,0,1001250,2021-05-01,2024-04-16
1001250,2023-05-30,The Est̩e Lauder Companies Inc.,0,1001250,2021-05-30,2024-04-15
1001250,2023-07-11,The Est̩e Lauder Companies Inc.,0,1001250,2021-07-11,2024-02-27
1002517,2014-12-10,"Nuance Communications, Inc.",0,1002517,2012-12-10,2015-09-16
1041061,2023-01-13,"Yum! Brands, Inc.",0,1041061,2021-01-13,2023-10-04
1048911,2011-05-01,"FedEx Ground Package System, Inc.",0,1048911,2009-05-01,2011-12-21
1051470,2013-10-31,Crown Castle,0,1051470,2011-11-01,2014-05-14
1051470,2013-11-19,Crown Castle,0,1051470,2011-11-20,2014-05-18
1058290,2020-04-09,Cognizant Technology Solutions Corporation,0,1058290,2018-04-10,2020-12-28
1060391,2013-08-10,Republic Services,0,1060391,2011-08-11,2014-02-22
1060391,2013-08-26,Republic Services,0,1060391,2011-08-27,2014-02-22
1060391,2019-02-01,"Republic Services, Inc.",0,1060391,2017-02-01,2022-03-18
1060391,2021-09-20,"Republic Services, Inc.",0,1060391,2019-09-21,2022-03-19
1060391,2022-04-09,"Republic Services, Inc.",0,1060391,2020-04-09,2022-11-30
1067837,2019-09-18,Entercom Communications Corp.,0,1067837,2017-09-18,2021-01-20
1091667,2008-07-14,"Charter Communications, Inc.",1,1091667,2006-07-15,2009-02-01
1091667,2008-08-11,Charter Communications,1,1091667,2006-08-12,2009-02-07
1091667,2013-04-26,"Charter Communications, Inc.",1,1091667,2011-04-27,2013-10-23
1091667,2014-01-21,"Charter Communications, Inc.",1,1091667,2012-01-22,2014-07-20
1091667,2014-09-30,Charter Communication,1,1091667,2012-09-30,2015-03-29
1091667,2022-12-21,Charter Communications,1,1091667,2020-12-21,2023-08-09
1091667,2023-01-01,"Charter Communications, Inc.",1,1091667,2021-01-01,2023-06-30
1091667,2023-09-01,"Charter Communications, Inc.",1,1091667,2021-09-01,2024-02-28
1105705,2006-12-01,Time Warner Inc.,0,1105705,2004-12-01,2007-07-25
1105705,2015-01-28,Time Warner Inc.,0,1105705,2013-01-28,2015-08-18
1105705,2015-02-19,TimeWarner,0,1105705,2013-02-19,2015-08-18
1105705,2016-08-10,Time Warner Inc.,0,1105705,2014-08-11,2018-01-16
1105705,2017-05-15,"Home Box Office, Inc.",0,1105705,2015-05-16,2018-04-28
1105705,2017-07-20,Time Warner Inc.,0,1105705,2015-07-21,2018-01-16
1105705,2017-07-23,"Home Box Office, Inc.",0,1105705,2015-07-24,2018-04-28
1105705,2017-10-30,"Home Box Office, Inc.",0,1105705,2015-10-31,2018-04-28
1108524,2008-02-07,Salesforce.com,0,1108524,2006-02-07,2008-08-05
1123360,2012-06-22,"Global Payments, Inc.",0,1123360,2010-06-23,2012-12-19
1123360,2012-07-25,Global Payments Inc.,0,1123360,2010-07-26,2013-01-21
1124610,2015-07-02,"VMware, Inc.",0,1124610,2013-07-02,2016-02-15
1124610,2015-08-19,Vmware Inc,0,1124610,2013-08-19,2016-02-15
1136893,2007-09-24,"Fidelity National Information Services, Inc.",0,1136893,2005-09-24,2008-03-25
1136893,2023-05-01,"Fidelity National Information Services, Inc.",0,1136893,2021-05-01,2024-04-01
1136893,2023-05-27,"Fidelity National Information Services, Inc.",0,1136893,2021-05-27,2024-02-07
1136893,2023-06-21,"Fidelity National Information Services, Inc.",0,1136893,2021-06-21,2023-12-18
1136893,2023-06-26,"Fidelity National Information Services, Inc.",0,1136893,2021-06-26,2023-12-23
1136893,2023-07-17,"Fidelity National Information Services, Inc.",0,1136893,2021-07-17,2024-01-13
1136893,2023-07-21,"Fidelity National Information Services, Inc.",0,1136893,2021-07-21,2024-01-17
1136893,2023-09-08,"Fidelity National Information Services, Inc.",0,1136893,2021-09-08,2024-03-06
1136893,2023-09-19,"Fidelity National Information Services, Inc.",0,1136893,2021-09-19,2024-03-17
1136893,2023-10-04,"Fidelity National Information Services, Inc.",0,1136893,2021-10-04,2024-04-01
1136893,2023-11-09,"Fidelity National Information Services, Inc.",0,1136893,2021-11-09,2024-05-07
1136893,2023-11-20,"Fidelity National Information Services, Inc.",0,1136893,2021-11-20,2024-05-18
1137789,2016-02-29,Seagate US LLC,0,1137789,2014-03-01,2016-09-05
1137789,2016-03-14,Seagate US LLC,0,1137789,2014-03-15,2016-09-10
1137789,2017-07-08,Seagate Technology LLC,0,1137789,2015-07-09,2018-01-04
1140859,2024-02-21,"Cencora, Inc.",0,1140859,2022-02-21,2024-11-11
1140859,2024-04-10,"Cencora, Inc.",0,1140859,2022-04-11,2024-11-11
1140859,2024-05-08,"Cencora, Inc.",0,1140859,2022-05-09,2024-12-17
1166691,2008-01-29,Comcast,1,1166691,2006-01-29,2008-07-27
1166691,2009-05-11,"Comcast Cable Communications, Inc.",1,1166691,2007-05-12,2009-11-07
1166691,2009-06-22,"Comcast Cable Communications, Inc.",1,1166691,2007-06-23,2009-12-19
1166691,2012-08-24,NBC Sports Group,0,1166691,2010-08-25,2014-04-12
1166691,2013-08-24,NBC Sports Group,0,1166691,2011-08-25,2014-04-12
1166691,2013-10-15,NBC Sports Group,0,1166691,2011-10-16,2014-04-13
1166691,2014-09-29,Comcast,1,1166691,2012-09-29,2015-03-28
1166691,2022-01-04,NBCUniversal,1,1166691,2020-01-05,2022-10-18
1166691,2023-10-16,Comcast Cable Communications LLC,1,1166691,2021-10-16,2024-06-15
1166691,2024-01-26,Comcast Cable Communications LLC,1,1166691,2022-01-26,2024-07-24
1166691,2024-02-14,Comcast Cable Communications LLC,1,1166691,2022-02-14,2025-04-01
1166691,2024-10-04,Comcast Cable Communications LLC,1,1166691,2022-10-05,2025-04-02
1180262,2022-02-01,"Herbalife International of America, Inc.",0,1180262,2020-02-02,2022-09-13
51434,2023-05-30,International Paper Company,0,51434,2021-05-30,2024-05-15
1283699,2014-01-02,"T-Mobile USA, Inc.",1,1283699,2012-01-03,2014-07-01
1283699,2015-09-14,"T-Mobile USA, Inc.",1,1283699,2013-09-14,2016-03-29
1283699,2015-10-01,T-Mobile USA Inc.,1,1283699,2013-10-01,2016-03-29
1283699,2015-11-04,T-Mobile USA Inc,1,1283699,2013-11-04,2016-05-02
1283699,2017-04-01,T-Mobile,1,1283699,2015-04-02,2017-12-06
1283699,2017-08-24,"T-Mobile USA, Inc.",1,1283699,2015-08-25,2018-03-13
1283699,2017-09-16,"T-Mobile USA, Inc.",1,1283699,2015-09-17,2018-03-31
1283699,2018-08-20,T-Mobile USA Inc.,1,1283699,2016-08-20,2019-02-19
1283699,2019-11-26,T-Mobile USA,1,1283699,2017-11-26,2020-08-29
1283699,2020-04-02,Sprint,1,1283699,2018-04-03,2020-09-29
1283699,2020-04-15,Sprint,1,1283699,2018-04-16,2020-10-12
1283699,2020-08-27,"T-Mobile US, Inc.",1,1283699,2018-08-28,2021-06-06
1283699,2020-08-31,T-Mobile,1,1283699,2018-09-01,2021-04-07
1283699,2021-01-18,T-Mobile,1,1283699,2019-01-19,2021-08-08
1283699,2021-02-12,"T-Mobile USA, Inc.",1,1283699,2019-02-13,2021-09-12
1283699,2021-02-20,T-Mobile,1,1283699,2019-02-21,2021-09-27
1283699,2021-03-01,"T-Mobile USA, Inc.",1,1283699,2019-03-02,2022-02-12
1283699,2021-03-31,T-Mobile,1,1283699,2019-04-01,2021-09-27
1283699,2021-08-13,"T-Mobile USA, Inc.",1,1283699,2019-08-14,2022-02-12
1283699,2021-08-17,T-Mobile USA,1,1283699,2019-08-18,2022-02-15
1283699,2021-08-26,T-Mobile USA,1,1283699,2019-08-27,2022-02-22
1283699,2022-03-08,T-Mobile,1,1283699,2020-03-08,2022-09-04
1283699,2022-11-25,T-Mobile USA,1,1283699,2020-11-25,2023-07-18
1283699,2023-02-01,"T-Mobile USA, Inc.",1,1283699,2021-02-01,2023-10-25
1283699,2023-02-24,T-Mobile,1,1283699,2021-02-24,2023-10-25
1283699,2023-04-28,T-Mobile USA,1,1283699,2021-04-28,2023-10-25
