permno,date,ret,vol,ticker
81696,2022-10-03,0.069414,3388755.0,DISH
81696,2022-10-04,0.041244,4851472.0,DISH
81696,2022-10-05,-0.023377,4610678.0,DISH
81696,2022-10-06,-0.009973,3202771.0,DISH
81696,2022-10-07,-0.055742,5127996.0,DISH
81696,2022-10-10,0.004267,4001583.0,DISH
81696,2022-10-11,-0.043201,6348243.0,DISH
81696,2022-10-12,-0.014064,5414729.0,DISH
81696,2022-10-13,0.009009,10949996.0,DISH
81696,2022-10-14,-0.035714,7135051.0,DISH
81696,2022-10-17,0.073303,6779144.0,DISH
81696,2022-10-18,0.017254,3506897.0,DISH
81696,2022-10-19,-0.028269,2734280.0,DISH
81696,2022-10-20,0.013091,2643296.0,DISH
81696,2022-10-21,0.012204,5131791.0,DISH
81696,2022-10-24,-0.002128,3119075.0,DISH
81696,2022-10-25,0.062544,3855845.0,DISH
81696,2022-10-26,0.009365,3524376.0,DISH
81696,2022-10-27,0.006627,2740300.0,DISH
81696,2022-10-28,0.013825,3372132.0,DISH
81696,2022-10-31,-0.031818,4521344.0,DISH
81696,2022-11-01,0.01006,4082432.0,DISH
81696,2022-11-02,-0.033865,4767369.0,DISH
81696,2022-11-03,-0.057045,7065001.0,DISH
81696,2022-11-04,-0.026968,7156236.0,DISH
81696,2022-11-07,0.098876,8271353.0,DISH
81696,2022-11-08,0.045671,6761849.0,DISH
81696,2022-11-09,-0.077575,4377145.0,DISH
81696,2022-11-10,0.134982,6469381.0,DISH
81696,2022-11-11,0.058531,4410156.0,DISH
81696,2022-11-14,-0.03,4191753.0,DISH
81696,2022-11-15,-0.027289,4914073.0,DISH
81696,2022-11-16,-0.01995,2530763.0,DISH
81696,2022-11-17,-0.020992,3160809.0,DISH
81696,2022-11-18,-0.010396,2629034.0,DISH
81696,2022-11-21,-0.024951,2532862.0,DISH
81696,2022-11-22,0.042424,2767807.0,DISH
81696,2022-11-23,0.026486,2247072.0,DISH
81696,2022-11-25,0.006923,1014811.0,DISH
81696,2022-11-28,-0.02625,2353026.0,DISH
81696,2022-11-29,0.006419,1924602.0,DISH
81696,2022-11-30,0.023597,4601706.0,DISH
81696,2022-12-01,-0.02866,3340870.0,DISH
81696,2022-12-02,-0.001924,3020788.0,DISH
81696,2022-12-05,-0.070051,3665234.0,DISH
81696,2022-12-06,-0.001382,3980703.0,DISH
81696,2022-12-07,0.0,2994755.0,DISH
81696,2022-12-08,0.011765,2374226.0,DISH
81696,2022-12-09,0.008208,2476976.0,DISH
81696,2022-12-12,0.044776,4508884.0,DISH
81696,2022-12-13,0.048701,9562439.0,DISH
81696,2022-12-14,-0.025387,4864228.0,DISH
81696,2022-12-15,-0.055909,4841840.0,DISH
81696,2022-12-16,-0.030283,20804680.0,DISH
81696,2022-12-19,-0.037474,5705840.0,DISH
81696,2022-12-20,-0.003605,3776127.0,DISH
81696,2022-12-21,0.007236,4798909.0,DISH
81696,2022-12-22,0.015805,6210284.0,DISH
81696,2022-12-23,0.022631,2575811.0,DISH
81696,2022-12-27,-0.017981,2217312.0,DISH
81696,2022-12-28,-0.049296,3111276.0,DISH
81696,2022-12-29,0.045926,3289858.0,DISH
81696,2022-12-30,-0.005666,2966417.0,DISH
81696,2023-01-03,0.004274,4232299.0,DISH
81696,2023-01-04,0.051064,5671410.0,DISH
81696,2023-01-05,0.013495,3252072.0,DISH
81696,2023-01-06,0.041278,4554327.0,DISH
81696,2023-01-09,0.011509,3393246.0,DISH
81696,2023-01-10,-0.062579,8514747.0,DISH
81696,2023-01-11,0.014835,3715012.0,DISH
81696,2023-01-12,0.000664,4856872.0,DISH
81696,2023-01-13,-0.037849,4479361.0,DISH
81696,2023-01-17,0.00069,4210382.0,DISH
81696,2023-01-18,-0.038621,4014592.0,DISH
81696,2023-01-19,-0.052367,5447111.0,DISH
81696,2023-01-20,0.052233,5659479.0,DISH
81696,2023-01-23,0.047482,5195805.0,DISH
81696,2023-01-24,-0.019231,2947377.0,DISH
81696,2023-01-25,0.028011,3830968.0,DISH
81696,2023-01-26,-0.018392,5240811.0,DISH
81696,2023-01-27,-0.000694,5184397.0,DISH
81696,2023-01-30,-0.030556,3451074.0,DISH
81696,2023-01-31,0.030802,2366503.0,DISH
81696,2023-02-01,0.037526,4717183.0,DISH
81696,2023-02-02,0.044876,6342715.0,DISH
81696,2023-02-03,-0.033333,2937614.0,DISH
81696,2023-02-06,-0.027852,3643246.0,DISH
81696,2023-02-07,-0.006821,3433819.0,DISH
81696,2023-02-08,-0.043269,3630048.0,DISH
81696,2023-02-09,-0.03374,4344371.0,DISH
81696,2023-02-10,0.015602,2970052.0,DISH
81696,2023-02-13,0.01902,3299989.0,DISH
81696,2023-02-14,0.006461,2740846.0,DISH
81696,2023-02-15,0.027817,3081970.0,DISH
81696,2023-02-16,-0.021513,2140790.0,DISH
81696,2023-02-17,0.003546,3430844.0,DISH
81696,2023-02-21,-0.086219,9074842.0,DISH
81696,2023-02-22,0.011601,6333060.0,DISH
81696,2023-02-23,0.051988,8285303.0,DISH
